DATASET_YR,REPRJ_ID,INUN_ID,ADMS,COUNSEL,SAT1_VERB_200_P,SAT1_VERB_300_P,SAT1_VERB_400_P,SAT1_VERB_500_P,SAT1_VERB_600_P,SAT1_VERB_700_P,SAT1_MATH_200_P,SAT1_MATH_300_P,SAT1_MATH_400_P,SAT1_MATH_500_P,SAT1_MATH_600_P,SAT1_MATH_700_P,SAT1_COMP_400_P,SAT1_COMP_600_P,SAT1_COMP_800_P,SAT1_COMP_1000_P,SAT1_COMP_1200_P,SAT1_COMP_1400_P,SAT1_COMP_MEAN,SAT1_COMP_25TH_P,SAT1_COMP_75TH_P,ACT_1_P,ACT_2_P,ACT_3_P,ACT_4_P,ACT_5_P,ACT_6_P,SAT1_VERB_MEAN,SAT1_MATH_MEAN,ACT_MEAN,SAT1_VERB_670_800_P,SAT1_MATH_600_800_P,SUBMIT_P,SUBMIT_SAT1_P,SUBMIT_ACT_P,PLACE_ONLY,ADMS_PLACE,ADMS_COUNSEL,SAT1_VERB_25TH_P,SAT1_VERB_75TH_P,SAT1_MATH_25TH_P,SAT1_MATH_75TH_P,ACT_COMP_25TH_P,ACT_COMP_75TH_P,ACT_WRITING,SAT_NEW,SAT1_WRITING_200_P,SAT1_WRITING_300_P,SAT1_WRITING_400_P,SAT1_WRITING_500_P,SAT1_WRITING_600_P,SAT1_WRITING_700_P,SAT1_WRITING_25TH_P,SAT1_WRITING_75TH_P,SAT1_WRITING_MEAN,ESSAY_ADMIS_ACT,ESSAY_ADMIS_SAT,ESSAY_ADVISING_ACT,ESSAY_ADVISING_SAT,ESSAY_AP_SUBST_ACT,ESSAY_AP_SUBST_SAT,ESSAY_AP_VALID_ACT,ESSAY_AP_VALID_SAT,ESSAY_NO_ACT,ESSAY_NO_SAT,ESSAY_NO_POLICY_ACT,ESSAY_NO_POLICY_SAT,ESSAY_PLACE_ACT,ESSAY_PLACE_SAT,ADMS_OPTIONAL,SAT_ESSAY,ACT_ENG_1_P,ACT_ENG_2_P,ACT_ENG_3_P,ACT_ENG_4_P,ACT_ENG_5_P,ACT_ENG_6_P,ACT_MATH_1_P,ACT_MATH_2_P,ACT_MATH_3_P,ACT_MATH_4_P,ACT_MATH_5_P,ACT_MATH_6_P,ACT_MATH_MEAN,ACT_ENG_MEAN,ACT_MATH_25TH_P,ACT_MATH_75TH_P,ACT_ENG_25TH_P,ACT_ENG_75TH_P,ACT_PLACE,ACT_WRITING_25TH_P,ACT_WRITING_75TH_P,AP_PLACE,CLEP_PLACE,INST_PLACE,SAT1_PLACE,SAT2_PLACE,STATE_PLACE_T,SUBMIT_ACT_N,SUBMIT_SAT1_N,ACT_SCIENCE_25TH_P,ACT_READING_25TH_P,SAT1_COMP_50TH_P,SAT1_VERB_50TH_P,SAT1_MATH_50TH_P,ACT_COMP_50TH_P,ACT_MATH_50TH_P,ACT_ENG_50TH_P,ACT_WRITING_50TH_P,ACT_SCIENCE_50TH_P,ACT_READING_50TH_P,ACT_SCIENCE_75TH_P,ACT_READING_75TH_P,ACT_READING_1_P,ACT_READING_2_P,ACT_READING_3_P,ACT_READING_4_P,ACT_READING_5_P,ACT_READING_6_P,ACT_SCIENCE_1_P,ACT_SCIENCE_2_P,ACT_SCIENCE_3_P,ACT_SCIENCE_4_P,ACT_SCIENCE_5_P,ACT_SCIENCE_6_P
2023,12,5582,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5584,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5588,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5590,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5592,Y,,,2,7,27,61,3,,2,24,48,23,3,,,14,47,36,3,1140,1050,1230,,,6,59,32,3,597,544,22,,,,10,6,,,,540,650,490,600,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,3,21,32,32,12,,,38,41,21,,20,22,16,23,18,27,,5,8,,,,,,,31,51,19,21,1150,610,540,23,18,21,6,20,24,23,28,,,12,32,35,21,,,15,65,17,3
2023,12,5593,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5595,Y,,,,,,,,,,,,,,,,,,,,,900,1170,,,,,,,,,,,,96,92,14,,,,490,600,480,570,18,24,ACTB,,,,,,,,,,,,,X,X,,,,,,,,,X,X,,SATB,,,,,,,,,,,,,,,16,23,16,24,X,,,,,X,X,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5597,Y,,,,3.37,28.56,46.65,21.41,,,8.06,34.01,36.78,21.16,,,4.03,31.23,46.6,17.88,1250,1130,1380,,,2.43,26.91,46.01,24.65,640,610,26,,,100,35,51,,,,580,690,550,690,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,0.35,5.03,24.48,37.15,32.99,,,7.99,27.25,46.88,17.88,25,26,22,28,23,32,X,,,X,X,X,X,,,576,397,,,1250,640,610,26,25,26,,,,,,,,,,,,,,,,,
2023,12,5599,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,86,19,,,,,,,,15,21,ACTB,,,,,,,,,,,,,,,,,,,X,X,,,,,,SATB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5600,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,16,69,,,,,,,,,,,SRS1,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5601,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5604,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5605,Y,,,,,,,,,,,,,,,,,,,,,,,,,14,54,31,1,,,21,,,98,14,76,,,,,,,,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5608,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5609,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,11,69,,,,,,,,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5611,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5614,Y,,,2,24,47,25,2,,7,29,44,17,3,,2.83,28.3,49.4,17.7,1.77,1070,970,1170,,,20,33,40,7,545,525,22,,,99,52,1,,,,490,600,460,580,18.5,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,3,27,40,20,13,,,27,33,33,7,22,22,17.5,25.5,18,24,X,,,X,X,X,X,,Math and writing placement exams are used to align student knowledge with proper course level.,9,665,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5615,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,64,39,,,,420,520,400,490,16,26,ACTB,,,,,,,,,,,,,,,,,,,,,,,,,,SATB,,,,,,,,,,,,,,,,,14,23,,,,,,,,,,16,21,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5616,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5618,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5619,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,ACTB,,,,,,,,,,,,,,,,,,,X,X,,,,,,SATB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5620,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5621,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5622,N,,0.1,1.7,22.6,42.2,27.8,5.6,0.1,4,25.8,42.8,23.2,3.9,,2.4,25.7,45.3,23,3.5,,980,1200,,,9.1,37.7,41.6,11.7,,,,,,96.7,49,8,,,,500,620,480,600,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,12.6,40.4,30.5,15.2,,,17,34.6,36.6,11.8,,,19,27,,27,X,,,X,X,,X,,,155,995,,,1100,550,540,24,23,,,,,,,,,,,,,,,,,,
2023,12,5623,Y,,,,,,,,,,,,,,,,,,,,,,,,,20,50,25,5,,,,,,91,,82,,,,,,,,18,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,28,41,20,6,,,36,37,25,2,,,16,24,16,24,X,,,,,,X,,,845,,18,18,,,,21,19,20,,22,22,24,27,,2,20,38,24,16,,1,17,51,25,6
2023,12,5625,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5626,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5627,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5628,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5629,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5630,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5631,Y,,,6.85,31.18,41.63,16.92,3.42,,9.71,32.57,44.19,10.48,3.05,,,,,66,11,,950,1140,,0.36,21,51.85,21.79,5,,,21,,,91,10,99,,,,480,580,460,560,19,24,ACTB,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,0.02,3.37,23.76,42.78,21.36,8.71,0.13,0.5,35.68,39.04,21.96,2.69,,,17,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5633,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5634,N,,,,20.59,50,29.41,,,5.88,8.8,50,29.44,5.88,,2.94,5.88,64.7,23.54,2.94,,1033,1192,,,11.76,46.16,36.65,5.43,,,,,,99,10,62.67,,,,520,608,520,610,19,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,25,38.19,24.55,10.91,,,20.91,40,36.82,2.27,,,18,25,,25,X,,,,,,X,,,220,34,,,1100,540,560,22,22,,,,,,,,,,,,,,,,,,
2023,12,5635,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5636,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,5,1,,,,,,,,,,,SRS1,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,514,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5637,N,,,3,13,63,15,6,,5,18,56,18,3,,3,18,61,13,5,,1023,1138,,5,15,55,25,,,,,,,100,42,14,,,,510,590,503,570,19,23,,SRS1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25,45,15,10,,,25,40,35,,,,18,24,,23,,,,,,X,,,,20,62,19,19,1095,550,540,21,21,,,21,22,24,25,,5,15,45,25,10,,5,10,55,25,5
2023,12,5638,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5639,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5640,,,,,,25.58,46.51,27.91,,,,23.25,44.19,32.56,,,,20.93,48.84,30.23,,,,,,,4.85,44.17,50.97,,,,,,99,11,51,,,,595,710,600,760,,,ACTB,,,,,,,,,,,,,,,,,,,X,X,,,,,X,SATB,,,,8.25,21.84,69.9,,,,14.56,57.28,26.7,,,,,,,,,,,,,,,,203,43,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5642,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5645,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5647,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5648,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5649,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5651,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5652,Y,,,1,5,28,50,16,,1,9,39,34,16,,,5,35,48,12,1224,1140,1310,,,5,11,42,42,621,602,28,,,99,26,4,,,,578,673,550,650,27,32,,SRS1,,,,,,,,,,,,,,,,,,,,,,,,X,,,,5,32,16,47,,,5,21,42,32,26,27,24,31,23,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5653,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5655,Y,,,0.19,1.34,20.04,53.24,25.19,,0.19,1.91,20.99,50.95,25.95,,,1.34,17.37,59.73,21.37,1296,1220,1380,,,,9.13,46.83,44.05,645,651,28,,,95,25.24,12.14,,,,600,700,600,700,26,31,,SR,,,,,,,,,,,,,,,,,,,,,,,,X,,,,1.19,12.3,32.14,54.37,,,0.79,13.49,58.33,27.38,27,29,24,30,26,34,X,,,X,X,X,X,X,,252,524,24,28,1300,650,650,29,27,30,,28,31,31,34,,,1.2,9.9,25.8,63.1,,,,16.7,46.4,36.9
2023,12,5656,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5657,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5658,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5660,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5661,Y,,,0.92,9.17,39.45,35.78,14.68,,0.92,22.02,42.2,28.44,6.42,,,12,48,36,5,,1060,1250,,,8,36,36,20,598,563,25,,,100,36,8,,,,550,650,510,620,21,29,,SRS1,,,,,,,,,,,,,,,,,,,,,,,,X,,,,12.5,25,33.33,29.17,,,28,40,20,12,,,17,25,21,31,X,,,X,,X,X,,,25,109,21,22,1160,600,560,25,22,25,,23,25,29,33,,4,4,28,16,48,,,8,44,32,16
2023,12,5662,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,"SAT,  ACT,  PSAT, TABE 9-10 scores of 461 or higher in reading and 442 or higher in math for placement into entry level workforce certificate programsGeorgia Milestones Literature & Composition or Georgia Milestones American Literature & Composition (English admission requirement only),HOPE GPA after completion of 10th grade of 2.6 or higher, High school GPA of 2.0 for approved Entry Level Workforce Certificates,  Completion of GEDA? with a score of 145 or higher on each section for placement into any certificate, diploma, or degree program, Completed TCSG form documenting two years of work/career related experience for approved Entry Level Workforce Certificates Accuplacer/Companion, Compass/Asset,  *A student possessing an Associatea??s degree of higher from a regionally accreditedinstitution shall be exempted from placement requirements.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5663,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5664,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5665,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5666,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5667,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5668,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,ACTB,,,,,,,,,,,,,,,,,,,,,X,X,,,,SATB,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5669,Y,,,,,,,,,,,,,,,,,,,,,,,,,46.5,46.5,7,,,,18,,,89,90,19,,,,,,,,15,21,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5673,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,SRS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5677,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5678,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5679,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,SRS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,41,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5680,Y,,,,,16,51,33,,,9,33,39,19,,,,27,55,18,1279,1190,1360,,,,21,36,43,660,620,28,,,100,83,17,,,,610,710,560,670,24,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,29,57,,,,43,36,21,25,29,23,29,24,34,,,,,,,,,,,,23,25,1280,660,620,29,26,30,,25,32,27,33,,,,14,29,57,,,,36,43,14
2023,12,5681,Y,,,,,,,,,,,,,,,,,,,,,,,,,13,42,32,13,,,23,,,100,,59,,,,,,,,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,15,39,29,17,,,27,34,30,8,22,23,17,26,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5685,Y,,,1,4,38,45,12,,1,11,49,33,6,,,6,45,43,6,1191,1120,1280,,,4,28,49,19,611,581,26,,,99,40,7,,,,560,660,540,630,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,,,X,,,79,468,,,1190,610,580,26,,,,,,,,,,,,,,,,,,,
2023,12,5694,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5696,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5697,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5698,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5699,Y,,,,3,49,40,8,,,7,52,33,8,,,1,54,36,9,,1100,1250,,,,39,47,14,598,589,25,,,99.5,25,16,,,,550,650,540,620,23,27,,SRS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,47,37,13,,,5,41,48,6,24,24,21,25,21,26,,,,,,,,,,106,168,,,1170,590,580,24,24,23,,,,,,,,,,,,,,,,,
2023,12,5700,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
